SETTINGS_PAGE_CTRL_HEADER_SCREENSHOT	截图	-4
SETTINGS_PAGE_CTRL_HEADER_STUDIO	工作室	-4
SETTINGS_PAGE_CTRL_HEADER_ACTIONS	操作	-4

SETTINGS_PAGE_CTRL_SCREENSHOT_UI	UI截图
SETTINGS_PAGE_CTRL_SCREENSHOT_REND	渲染截图

SETTINGS_PAGE_CTRL_ACTIONS_UNDO	撤销操作
SETTINGS_PAGE_CTRL_ACTIONS_REDO	重做操作

SETTINGS_PAGE_CTRL_STUDIO_COPY	复制对象
SETTINGS_PAGE_CTRL_STUDIO_DUPLICATE	副本对象
SETTINGS_PAGE_CTRL_STUDIO_CUT	剪切对象
SETTINGS_PAGE_CTRL_STUDIO_PASTE	粘贴对象
SETTINGS_PAGE_CTRL_STUDIO_REMOVE	移除对象
SETTINGS_PAGE_CTRL_STUDIO_RENAME	重命名对象

SETTINGS_PAGE_CTRL_STUDIO_MULTIMOD	多选修饰器
SETTINGS_PAGE_CTRL_STUDIO_RANGEMOD	范围选取修饰器
SETTINGS_PAGE_CTRL_HEADER_MAKER	角色创建器	-4
SETTINGS_PAGE_CTRL_MAKER_REMOVE	删除对象
SETTINGS_PAGE_CTRL_MAKER_APPENDMOD	追加对象修饰
SETTINGS_PAGE_CTRL_MAKER_EDIT	编辑对象
SETTINGS_PAGE_CTRL_CAMERA_FOLLOW	跟随对象
SETTINGS_PAGE_CTRL_CAMERA_RESET	重置
SETTINGS_PAGE_CTRL_HEADER_CAMERA	相机	-4
SETTINGS_PAGE_CTRL_ACTIONS_PAUSE	暂停
SETTINGS_PAGE_CTRL_HEADER_GIZMO	控制器	-4
SETTINGS_PAGE_CTRL_GIZMO_POSITION	位置
SETTINGS_PAGE_CTRL_GIZMO_ROTATION	旋转
SETTINGS_PAGE_CTRL_GIZMO_SCALE	大小
SETTINGS_PAGE_CTRL_ACTIONS_HIDEUI	隐藏界面
SETTINGS_PAGE_CTRL_HEADER_CAMERASENS	相机灵敏度	-4
SETTINGS_PAGE_CTRL_CAMSENS_MOUSE	鼠标
SETTINGS_PAGE_CTRL_CAMSENS_KEYBOARD	键盘
SETTINGS_PAGE_CTRL_CAMSENS_CONTROLLER	手柄
